Country,GDP,GDP YoY,GDP QoQ,Interest rate,Inflation rate,Jobless rate,Gov. Budget,Debt/GDP,Current Account,Currency,Population
Mongolia,12,-0.016,0.014,0.14,0.011,0.094,-0.031,0.774,-4.8,2489,3.06
Mauritius,12,0.04,0.031,0.04,0.023,0.076,-0.035,0.616,-4.9,35.75,1.26
Laos,12,0.07,,0.0425,0.0209,0.014,-0.047,0.4448,-20.3,8165,6.8
Equatorial Guinea,12,-0.106,,0.0245,0.039,0.223,-0.067,0.064,-7.1,612.59,0.85
Burkina Faso,11,0.054,,0.045,-0.018,0.066,-0.023,0.283,-4.5,612.59,18.11
Chad,11,0.056,,0.0245,-0.044,0.056,-0.054,0.257,-5.6,611.86,14.04
Armenia,11,-0.026,,0.0625,-0.011,0.181,-0.048,0.4223,-2.7,485.82,2.99
Albania,11,0.031,0.009,0.0125,0.022,0.152,-0.04,0.7213,-10.1,125.45,2.89
Namibia,11,-0.01,0.06,0.07,0.073,0.281,-0.052,0.34,-8.1,13.53,2.3
New Caledonia,10,0.022,,0.0025,-0.001,0.146,,,,110.9,0.27
Malta,10,0.03,0.002,0,0.008,0.048,-0.015,0.639,4.3,1.07,0.43
Macedonia,10,0.024,0.039,0.04,-0.002,0.234,-0.035,0.384,-1.4,57.39,2.07
Madagascar,10,0.03,,0.083,0.067,0.012,-0.034,0.349,-2.3,3243,24.24
Republic of the Congo,9,0.012,,0.0245,0.037,0.266,-0.035,0.34,-14.5,611.86,4.62
Bahamas,9,0.006,,0.04,-0.0033,0.148,-0.044,0.763,-22.3,1,0.39
Haiti,9,0.014,,0.2,0.142,0.068,0.0398,0.2645,-2.6,64.12,10.91
South Sudan,9,-0.053,,,4.572,0.12,,,,73.03,12.34
Tajikistan,8,0.069,,0.11,0.061,0.024,0.008,0.359,-5.9,7.88,8.48
Benin,8,0.05,,0.045,-0.028,0.01,-0.043,0.208,-15.1,612.59,10.88
Rwanda,8,0.052,0.048,0.0625,0.11,0.132,-0.048,0.28,-12.3,812.58,11.61
Niger,7,0.056,,0.045,-0.019,0.0225,-0.069,0.364,-21.2,612.59,18.53
Palestine,7,0.052,,,-0.0105,0.284,0.007,0.2,-13.5,,4.88
Liechtenstein,7,-0.008,,,-0.003,0.024,,,,1,0.04
Moldova,7,0.063,0.006,0.09,0.024,0.029,-0.022,0.275,-7.2,20.04,3.55
Kyrgyzstan,7,0.038,,0.05,-0.005,0.022,-0.015,0.552,-14.8,69.47,5.89
Guinea,7,0.001,,0.125,0.086,0.017,-0.073,0.295,-23.6,9312.5,12.61
Kosovo,6,0.038,,,0.013,0.329,-0.013,0.1358,-7.6,462.8,1.8
Monaco,6,0.054,,,,,,,,1.07,0.04
Malawi,6,0.029,,0.24,0.199,0.066,-0.049,0.294,-17.8,716.62,17.22
Somalia,6,0.026,,,-0.04,,,,,547,10.79
Suriname,5,-0.021,,0.125,0.555,0.089,-0.098,0.3961,3.8,7.4,0.54
Mauritania,5,0.031,,0.09,0.027,0.1285,-0.031,0.806,-20,354.9,4.07
Montenegro,4,0.024,,,0.009,0.2058,-0.07,0.614,-12.9,1.07,0.62
Fiji,4,0.042,,0.005,0.039,0.079,-0.041,0.506,-7.2,2.09,0.87
Eritrea,4,0.003,,,0.125,0.145,-0.128,0.239,-1.2,15.52,6.54
Swaziland,4,0.017,,0.07,0.082,0.067,-0.068,0.0904,9,13.48,1.11
